Emotion value,Carlos 2,Carlos 3,Carlos 4,Carlos 5,Carlos 6,Carlos 7,Carlos 8,Carlos 9,Carlos 10,Young 1,Young 2,Young 3,Young 4,Young 5,Nuwan 1,Nuwan 2,Nuwan 3,Nuwan 4,Nuwan 5,Nuwan 6,Nuwan 7,Nuwan 8,Nuwan 9,Nuwan 10,Nuwan 11,Nuwan 12,Nuwan 13,Nuwan 14,Nuwan 15,Nuwan 16,Gender,Age
3,0.29869851983311346,0.10901896489611794,0.20385873546810684,0.03481044795978325,0.10179709298535196,0.16188029241226087,0.1701992867785914,0.380870770052807,0.21070785726517413,0.8053955570424355,0.9521256722930431,0.5439183873107203,0.8458920712669877,0.5178786601907673,0.06314989582871675,0.08402226351471388,0.11073330505693807,0.13679237159450644,0.0660786998712751,0.08158945698556842,0.10792063115226638,0.13061338303565875,0.10319921614206982,0.07143306829631109,0.03982510526279981,0.03466877995482641,0.06659519802233084,0.09845344757727614,0.16188029241226087,0.0648213524650367,0,22
4,0.3600187663095261,0.1434957600660378,0.2517564042577928,0.039812539258857825,0.10139495083833988,0.2163344765252704,0.22729739283437428,0.45317877577531057,0.22588218320210823,0.7513302451579853,0.9559174526860532,0.6065934165833675,0.7859781647953034,0.5798532335965025,0.05726810323132734,0.08139226942272698,0.11202450412946377,0.14194272568592925,0.06552529298431989,0.0926624438037128,0.12212218850464703,0.15283413025011935,0.12716447035414874,0.09207036716826551,0.05786119511998557,0.05665425194975613,0.08976486668797427,0.12381909884613702,0.2163344765252704,0.06345719569136528,0,25
7,0.3643195778362196,0.12811206474759718,0.24621580782394628,0.04461684358081929,0.10602822310006764,0.18003988836920562,0.23703966919666347,0.4854937580575707,0.24856575952483306,0.813542863387143,0.9820589228567014,0.5488155053933949,0.8284053476349833,0.5389691640736936,0.06673741478074627,0.09906232774267704,0.12821642749730194,0.15550950147403345,0.08352714588939278,0.12024381820184743,0.1544987927905799,0.18023342927703512,0.13314228095414649,0.0944952568831081,0.054792095963399116,0.04957831988345759,0.08878197944129404,0.12508538081476248,0.18003988836920562,0.1577705910460423,0,25
6,0.35142744348751875,0.15282158888151126,0.25207926630058586,0.034303309509400866,0.10266610586482851,0.19012884330172417,0.24098201118266602,0.45671667850504544,0.2157676066284594,0.7893807092039415,0.9761625584982441,0.6078710460219684,0.8086570237014079,0.5933809555218086,0.04759406599580999,0.06853023857966854,0.09659916944495489,0.1264604564602803,0.05675043156703355,0.07911651178387695,0.11033147033383912,0.14648287469059548,0.1190277083188943,0.08632701869564634,0.05368024246763913,0.051787137281977376,0.08217027129794523,0.11304771182606756,0.19012884330172417,0.0638671115914425,0,25
1,0.3557469692835779,0.16288032224823956,0.2593058070207086,0.03530971580104891,0.10079276342339198,0.21463036793598803,0.2375262157653428,0.4558039635138818,0.21827905738268655,0.771521331674624,0.9513963747149746,0.6198606433271789,0.8109357489466589,0.58973316888997,0.05150433595029498,0.07151788378646746,0.09747436899394481,0.12631233496670158,0.05832298336879787,0.08355536363666753,0.11497337406464155,0.14471039535653513,0.12668652969334956,0.08957708078242023,0.05316116380585351,0.057349245536716734,0.09156561700912058,0.1262881918267219,0.21463036793598803,0.06895747292252156,0,25
3,0.35161863676473293,0.14810215224874054,0.24986034162690451,0.03776129198198853,0.09993912047635314,0.20536608799045641,0.22323422225108588,0.4392177650811876,0.21607683064888514,0.7601838730030341,0.9628681795603221,0.6155877719113223,0.7894994238465328,0.5927298772998497,0.05273387251516249,0.07249786660954961,0.1010195881632638,0.13023550610979256,0.057511013666516016,0.08743161721739044,0.1194143157863788,0.15133676038535215,0.1275769294358345,0.09175768753392922,0.05799138357476274,0.05537234910388363,0.08880510800316509,0.12386448925068289,0.20536608799045641,0.06496231392293705,0,25
5,0.3441151056904289,0.14171060053796536,0.2429125171916159,0.03730321678869353,0.09963213862367457,0.1875597470562051,0.22108963837582116,0.43405268670113656,0.21297425021860666,0.7649676002137092,0.9723464906496239,0.6091348410084042,0.7867232592186711,0.5922901249869384,0.050407336995276886,0.07693066276429844,0.1051816912658873,0.13669057705156273,0.058716473574005376,0.08643927390293833,0.12016984946709883,0.15152583451484058,0.11325483866989701,0.08243806908117766,0.05371489508259959,0.056401959974595975,0.08354629667481002,0.11204755076475778,0.1875597470562051,0.06509814991599856,0,25
7,0.30821671654440436,0.12374779890582036,0.2159472148115886,0.03601312832214291,0.10629648959231708,0.1780364582289769,0.16060519384426875,0.43301953277424177,0.27267955860923726,0.7421535235238745,0.9666491963083507,0.4996924021359994,0.7677588998761611,0.483027258926153,0.06596466879044226,0.06771063321634757,0.09666557907645171,0.13200181533510455,0.058564304433614746,0.074488478530262,0.0996639676425997,0.1300914032380234,0.1465345396956959,0.10476025482528627,0.0637672028732525,0.061676331955115495,0.09094382307784557,0.12271129924379635,0.1780364582289769,0.13735435231363058,0,22
6,0.32570866065943266,0.12665663772124094,0.2261815348962376,0.03741822299372361,0.10936722769090688,0.191355240929641,0.15727863480551973,0.38233962998911003,0.22532027256786244,0.6758784739522556,0.9127305122401719,0.5990031655968263,0.7405016758927063,0.5467284661686758,0.06958209392467403,0.07720384443200688,0.10490594413950038,0.13669788924580245,0.061065564568279135,0.07222624613937684,0.10122401715974873,0.1354289845283638,0.13426181712855162,0.0970691234040493,0.06380161833197942,0.061878967900772804,0.09021505538275537,0.1220913525628348,0.191355240929641,0.05545679177759507,1,22
4,0.33362146624268835,0.10545975223336915,0.21954006440337598,0.04190816556790411,0.09304400854581772,0.2016688488908858,0.15563497187566883,0.37116356551787233,0.2155715295098859,0.7045703913417026,0.9184805563668308,0.5933823185366807,0.767104307715258,0.5450101220678104,0.06250394524437611,0.08126259695481874,0.1138425602901277,0.14620993191963452,0.056097664932722106,0.07803453441333151,0.10976013390178997,0.14439265926969075,0.13417536883991668,0.09529087636664763,0.05938553632521032,0.06041155594472266,0.09028098876690624,0.12295488961640283,0.2016688488908858,0.049353123644339296,1,22
